Subject,Topic
pluto product deep dive,team_meeting
pluto sprint retrospective,agile
nini,1on1
fitbit fourth quarter 2018 financial results,team_meeting
team dinner,socializing
andrei review,agile
andrei stoia vacation 608 1208,other
site client health submit a bug p0 p1 bugs,team_meeting
fitbit third quarter 2019 financial results,team_meeting
debriefing alex burdusel,interview
interview bogdan pistol,interview
bucharest roundtable 5 sw consumer group 1,team_meeting
raluca 000 3 8th of may,other
api infrastructure daily stand up,agile
debriefing alex ciocan,interview
hold bucharest eng managers meeting,team_meeting
running ui tests with release configuration,agile
presentation,team_meeting
api backlog walktrough,agile
ask me anything session plutotheiarialto,team_meeting
site eng software engineering bi weekly,team_meeting
mobile internship 2019 kickoff meeting,team_meeting
proiect internship,team_meeting
burse fitbit pentru studenti upb,other
town hall with daniel peter,team_meeting
talent framework module 2 setting aligning goals,training
gcp migration process for services,team_meeting
debriefing teodor rotaru,interview
app platform bucharest schedule walktrough,team_meeting
build determinator discussion,agile
pluto go celebration beer mikkeller,socializing
tech onboarding presenter slot 5,team_meeting
sprint planning,agile
get to know meeting gokhan leo,1on1
family accounts grooming planning,agile
architecture discussion,team_meeting
wwdc video viewing,personal
mobile platform standup,agile
sre service registry monitoring general service ownership sl,team_meeting
prioritize roadmap,agile
1 on 1 costi leo,1on1
etajul 1,socializing
talent framework employee overview 2 of 5,training
flow sync,agile
interview alex macavei,interview
andrei d leo sync,1on1
lavinia vacation,other
debriefing claudiu nedelcu,interview
release 283 branch cut friday 2 pm gmt3 8 am edt 5 am pdt,other
mobile workshop kickstart lunch,socializing
est pst wwdc ios video viewing,personal
intro meeting,team_meeting
teo pto,other
office activity and hr correlation,agile
infra and services buh all hands,team_meeting
debriefing marius stuparu,interview
release 281 branch cut friday 8am edt,other
sync,agile
debriefing darie coman,interview
gdpr training,training
meeting staff,team_meeting
fitbit second quarter 2018 financial results,team_meeting
room change for global sync,agile
placeholder app platform presentation,team_meeting
internship hackerrank team test subjects final final session,team_meeting
debriefing eugen draguteanu,interview
manager engagement meeting,training
its a go pluto dinner,socializing
fitbit best practices,team_meeting
ipd mark your calendars for devawesome day,other
leonard and dawn meet up,1on1
get to know meeting david leo,1on1
enabling leaders engagement session,training
day off on behalf of my birthday,other
planning for webhooks,agile
team outing,socializing
1on1 liviu lavinia,1on1
rafa wfh,other
discuss about the solutions of reorganizing the tool,team_meeting
interview andrei mihai hoinarescu,interview
ios internship project,team_meeting
bogdan ceas pt ilhan,personal
cristian ooo,other
app ratings redux,agile
wfh a doua parte a zilei,other
innovation labs demoday semifinale,personal
team evening out,socializing
radu wfh z 604 108 1898 m 407400600,other
code coverage tools project,agile
group photo for santa,socializing
manager training roundtable,team_meeting
interview di cristian ionu,interview
visit dawn baker keith baker jeff kolesky,team_meeting
andrei ene ooo,other
banu manta cofetarie,personal
ios 276 release team,team_meeting
mihai hoinarescu 1st day,1on1
m3 sprint4 swarm for statsd to prometheus migration,agile
wfh elena,other
kafka client migration implementation choices and project plannin,team_meeting
wfh restul zilei,other
demo planning,agile
updated google drive trainign part 3,training
interview luiza balulescu,interview
gcp preparation to move work and update,team_meeting
configuration management presentation,team_meeting
global 50 50 day kickoff,team_meeting
internship mid term evaluation,agile
survey results analysis,team_meeting
se management sync,agile
mobile platform retrospective planning,agile
interview gabriel teris,interview
gradle for build determinator discussion,agile
debriefing alecsandru patrascu,interview
sprint grooming,agile
wireframes overview,team_meeting
family account grooming planning,agile
engineering qa session,team_meeting
1on1 andrei s lavinia,1on1
user service tech walktrough,1on1
interview curelea stefan,interview
interview stefan prutianu,interview
sync on strava and ifttt,agile
1 on 1 denis leo,1on1
pluto daily,team_meeting
linkedin order,interview
meetings,other
teo on pto,other
quick sync about flow updates only engineering is required,agile
code review panel discussion,agile
rafaela pto,other
swe ipd rd demo day feel free to bring your lunch,team_meeting
pto roxana,other
office activity and hr correlation planning,agile
internship meetup,team_meeting
lavinia pto,other
kafka in gcp prod,team_meeting
pluto backlog grooming,agile
site eng ipd pints and pies,socializing
interview vlad manolache,interview
internship hackerrank team,team_meeting
dinner out with app platform management team,socializing
1on1 chris kimm lavinia,1on1
re evaluating tech screen process,agile
microservice breakout in 2019,team_meeting
pto 30 aug 10 sept,other
mike andrei 1 1,1on1
updated zoom talent framework employee overview 3 of 5,training
cdt review,agile
intervieu studenti,interview
fitbit talent framework training option 5 of 7,training
lunch vivo,socializing
ios ro engineering meeting,team_meeting
placeholder sync ipd,agile
3 summer internship,team_meeting
capacity team,team_meeting
1 on 1 alex leo,1on1
spring launch in the summer,team_meeting
sync discussion with leo,agile
1 1 summer internship feedback,1on1
email verification screen in the kids sign up flow,agile
ios bucharest engineering meeting golden gate presentation,team_meeting
mandatory instructaj ssm,training
happy hour,socializing
team meeting,team_meeting
october presentation how a step becomes a db record,team_meeting
engineering briefing managers pre flight,team_meeting
1on1 cristi lavinia,1on1
mobile internship program sync,agile
debriefing silviu burlacu,interview
cristi lipsesc 11 45 14 15 wfh dupa,other
meeting the gdp students,team_meeting
backlog walkthrough take 1,agile
mobile initiatives testing culture,agile
prezentare oferta alex ionescu,interview
interview pre brief meeting javascript backend swe,interview
survey results review eu,team_meeting
interview mihai turtoi,interview
debriefing tudor marinescu,interview
talk about recent events,team_meeting
interview teodor rotaru,interview
